	m1_multipep_001_nat	m1_nopep_001_nat	m1_onexpep_001_nat	m2_multipep_001_nat	m2_nopep_001_nat	m2_onexpep_001_nat	m3_multipep_001_nat	m3_nopep_001_nat	m3_onexpep_001_nat	m4_multipep_001_nat	m4_nopep_001_nat	m4_onexpep_001_nat	m5_multipep_001_nat
1600002K03Rik	208	199	136	269	106	155	231	199	154	255	181	119	210
1600010M07Rik	200	237	181	515	230	313	272	309	274	532	337	287	418
1600012H06Rik	252	309	265	312	211	305	279	304	326	398	391	303	350
1600012P17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1600014C10Rik	14	118	87	30	86	107	31	128	85	62	179	158	58
1600014C23Rik	6	0	1	0	0	0	2	0	0	5	0	0	1
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1600017P15Rik	1	0	1	1	0	0	0	0	0	0	0	1	0
1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	736	1400	1055	2157	1355	1048	1224	1261	1471	2830	2511	2339	1813
1600023N17Rik	16	10	9	12	4	11	23	14	9	36	8	15	11
1600025M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029O15Rik	6	21	15	2	9	14	4	15	20	12	11	6	2
1700001C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	0	2	1	3	4	4	0	7	12	2	9	5	2
1700001D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	3	2	0	1	0	0	1	0	0	1
1700001G11Rik	24	9	8	21	6	9	14	8	20	26	17	11	29
1700001G17Rik	21	32	34	25	15	20	19	40	35	33	46	27	20
1700001J03Rik	0	31	5	5	17	12	2	16	7	7	23	16	13
1700001J04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	1	0	2	2	0	0	0	0	0	1	1	0	0
1700001K19Rik	81	260	96	126	138	128	74	155	123	214	327	110	144
1700001L05Rik	205	91	87	248	65	122	226	101	146	201	111	103	199
1700001L19Rik	0	4	4	4	5	3	2	3	8	1	1	0	2
1700001N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001O22Rik	44	34	17	49	11	41	73	22	40	129	39	29	117
1700001P01Rik	37	38	37	75	37	41	71	58	53	86	53	19	34
1700003C15Rik	0	0	3	1	4	2	1	1	0	2	1	2	1
